target,scenario,bin_id,bin_label,f_auc_lag,sii_auc_lag,f_auc_ma,sii_auc_ma,f_delta_acc,sii_delta_acc,delta_acc_diff,auc_ma_ratio
sif_stress_index,Control_North,2,Optimum,0.0455767360473289,0.0126763027072448,0.0481682162708595,0.0234125357523937,0.0025914802235306,0.0107362330451488,0.008144752821618199,0.4860577693128667
sif_stress_index,Control_North,3,Warm_Stress,0.0032708577253513,0.0208283601615011,0.0044241100883629,0.0440432875358914,0.0011532523630115,0.0232149273743902,0.0220616750113787,9.955287426445848
sif_stress_index,Control_North,4,Extreme_Heat,0.0336531408934856,0.0306914107692289,0.0264446336924441,0.0320180113451821,-0.0072085072010414,0.0013266005759532,0.0085351077769946,1.2107564701994888
sif_stress_index,Global_High_LAI,0,Cold,0.0624973610149439,0.0229245163461894,0.062577666383045,0.0382424911116264,8.030536810106625e-05,0.015317974765437,0.015237669397335934,0.6111204415572126
sif_stress_index,Global_High_LAI,1,Cool,0.0496765770064464,0.0128914946730018,0.0492220772899571,0.0381880079850747,-0.0004544997164892,0.0252965133120728,0.025751013028562,0.7758308890564902
sif_stress_index,Global_High_LAI,2,Optimum,0.0354450319680757,0.0137545290052464,0.0357469980679579,0.0057105700868119,0.0003019660998822,-0.0080439589184345,-0.008345925018316701,0.15974964040212972
sif_stress_index,Global_High_LAI,3,Warm_Stress,0.0186051703423201,0.0211608387757348,0.0167369681132004,0.0251066630978423,-0.0018682022291196,0.0039458243221075,0.0058140265512271,1.500072350501806
sif_stress_index,Global_High_LAI,4,Extreme_Heat,0.1228471704118766,0.0268321085995644,0.1188376145452406,0.0132739396884002,-0.004009555866636,-0.0135581689111641,-0.009548613044528101,0.11169813311379546
sif_stress_index,SAA_High_LAI,0,Cold,0.0139748241611375,0.0312524188620511,0.0143494129352212,0.0735861412547297,0.0003745887740837,0.0423337223926785,0.041959133618594796,5.128163889834798
sif_stress_index,SAA_High_LAI,1,Cool,0.0068040567296647,0.0251385462860609,0.0030020805281445,0.0475156562915436,-0.0038019762015201,0.0223771100054827,0.0261790862070028,15.827575525068164
sif_stress_index,SAA_High_LAI,2,Optimum,0.0115485322472759,0.0167454814188684,0.0080742097637195,0.0216692107759475,-0.0034743224835564,0.0049237293570791,0.008398051840635499,2.6837562325065565
sif_stress_index,SAA_High_LAI,3,Warm_Stress,0.0104737738043843,0.0115576282593153,0.010711109597226,0.0067119301223338,0.0002373357928416,-0.0048456981369814,-0.005083033929823,0.6266325688677556
sif_stress_index,SAA_High_LAI,4,Extreme_Heat,0.038264510181918,0.0366500542912175,0.0390517381181239,0.0511358436100153,0.0007872279362059,0.0144857893187978,0.013698561382591899,1.3094383521506605
sif_stress_index,Sahara_Barren,1,Cool,0.1066588729349997,0.0276326961279752,0.1162302441861077,0.0227947205260754,0.009571371251108,-0.0048379756018997,-0.0144093468530077,0.19611694602978316
sif_stress_index,Sahara_Barren,2,Optimum,0.0509654113007794,0.0306172322823155,0.0527304971835631,0.0552649430993452,0.0017650858827837,0.0246477108170297,0.022882624934246,1.0480641384237153
sif_stress_index,Sahara_Barren,3,Warm_Stress,0.0419093174938569,0.0479146161912382,0.036765996155274,0.0421297455170018,-0.0051433213385828,-0.0057848706742363,-0.0006415493356534997,1.145888862607586
sif_stress_index,Sahara_Barren,4,Extreme_Heat,0.0477309411082221,0.1634819251838071,0.026207562696713,0.291607129313591,-0.0215233784115091,0.1281252041297839,0.14964858254129298,11.126831315380766
